smiles,ID,pIC50,class,LogS,LogD,LogP,Pgp_inh,Pgp_sub,HIA,F(20%),F(30%),Caco_2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,Toxicophores,Acute_Aquatic_Toxicity,LD50_oral,NonGenotoxic_Carcinogenicity,Skin_Sensitization,SureChEMBL,Genotoxic_Carcinogenicity_Mutagenicity,NonBiodegradable,QED,Synth,Fsp3,MCE_18,NP_likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
CC(C1N=CC=N1)[C@H]1CCC2C3CC=C4CC(=O)CC[C@]4(C)C3CC[C@@]21C,CHEMBL112039,4.52,inactive,-4.895,3.951,4.577,0.505,0.193,0.008,0.951,0.997,-4.841,1.11122899397742E-05,0.711,48.79356384277344%,1.315,20.9987850189209%,0.084,0.546,0.077,0.881,0.166,0.054,0.976,0.87,0.711,0.608,4.612,0.454,0.018,0.163,0.054,0.175,0.996,0.898,0.949,0.496,0.192,0.069,0.984,0.294,4.492,5.244,5.505,0.001,0.007,0.01,0.11,0.565,0.688,0.249,0.591,0.006,0.293,0.957,0.903,366.27,401.116,0.913,3,0,41.79,2,5,17,3,0,26,0.077,7,0,0,0,0,1,0,0,1,0.615,4.902,0.792,78.233,2.436,0,0,0,0,Accepted,Rejected,Rejected,Accepted
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccon1,CHEMBL113205,5.95,inactive,-5.396,3.883,4.362,0.007,0.002,0.004,0.441,0.177,-4.654,1.22423925859039E-05,0.829,97.31604766845703%,1.597,1.847924828529358%,0.179,0.569,0.144,0.782,0.303,0.279,0.031,0.868,0.417,0.566,12.654,0.05,0.07,0.267,0.432,0.016,0.591,0.909,0.057,0.631,0.003,0.013,0.976,3.02,4.116,5.142,6.081,0.506,0.311,0.001,0.017,0.562,0.829,0.596,0.237,0.009,0.166,0.922,0.033,341.24,366.954,0.93,3,1,46.26,1,5,17,3,0,25,0.04,7,0,0,0,0,0,0,0,0,0.724,4.439,0.773,105.538,2.002,0,0,0,0,Accepted,Rejected,Rejected,Accepted
C[C@]12CCC3C(CC=C4CC(=O)CC[C@@]43C)C1CC[C@@H]2C1N=CC=N1,CHEMBL113407,6.4,intermediate,-4.524,3.455,3.963,0.749,0.698,0.009,0.967,0.995,-4.827,7.37335767553304E-06,0.328,27.605831146240234%,1.255,42.2534294128418%,0.123,0.383,0.08,0.858,0.194,0.062,0.971,0.851,0.679,0.509,5.376,0.354,0.02,0.13,0.047,0.431,0.997,0.903,0.959,0.745,0.773,0.295,0.986,0.165,3.954,4.495,5.236,0.006,0.072,0.012,0.054,0.673,0.495,0.199,0.736,0.012,0.327,0.954,0.853,338.24,366.524,0.923,3,0,41.79,1,5,17,3,0,26,0.038,6,0,0,0,0,1,0,0,1,0.643,4.759,0.773,77.538,2.174,0,0,0,0,Accepted,Rejected,Accepted,Accepted
C[C@]12CCC3C(CC=C4CC(=O)CC[C@@]43C)C1CC=C2c1cc[nH]n1,CHEMBL113448,7.23,active,-4.539,3.815,4.14,0.994,0.001,0.005,0.764,0.253,-4.688,1.74188407982001E-05,0.599,93.74304962158203%,1.712,3.236069917678833%,0.264,0.642,0.872,0.326,0.56,0.841,0.411,0.556,0.888,0.39,12.061,0.392,0.286,0.287,0.139,0.01,0.353,0.915,0.198,0.666,0.003,0.015,0.821,0.319,2.44,2.604,4.37,0.09,0.468,0.009,0.733,0.488,0.825,0.96,0.723,0.029,0.233,0.959,0.578,336.22,363.887,0.924,3,1,45.75,1,5,17,3,0,26,0.038,5,0,0,0,0,1,0,0,1,0.739,4.617,0.636,102.667,1.642,0,0,0,0,Accepted,Rejected,Rejected,Accepted
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccno1,CHEMBL113804,6.82,intermediate,-5.073,3.595,4.059,0.117,0.002,0.005,0.438,0.105,-4.736,1.0739614481281E-05,0.842,97.70025634765625%,1.762,1.7442381381988525%,0.452,0.557,0.483,0.806,0.531,0.408,0.095,0.543,0.911,0.638,11.897,0.072,0.049,0.627,0.75,0.022,0.47,0.906,0.093,0.488,0.003,0.01,0.979,2.388,3.649,4.005,5.323,0.295,0.091,0.001,0.455,0.124,0.779,0.848,0.355,0.012,0.175,0.931,0.073,341.24,366.954,0.93,3,1,46.26,1,5,17,3,0,25,0.04,7,0,0,0,0,0,0,0,0,0.724,4.448,0.773,105.538,1.991,0,0,0,0,Accepted,Rejected,Rejected,Accepted
C[C@]12CCC3C(CC=C4CC(=O)CC[C@@]43C)C1CC[C@@H]2c1c[nH]cn1,CHEMBL113966,7.24,active,-4.104,3.274,3.709,0.74,0.023,0.005,0.978,0.982,-4.691,4.28223029302899E-06,0.9,90.4840316772461%,0.871,5.228049278259277%,0.291,0.175,0.819,0.442,0.462,0.219,0.747,0.032,0.943,0.546,14.248,0.881,0.26,0.169,0.73,0.01,0.868,0.916,0.779,0.038,0.013,0.024,0.967,0.445,3.431,3.643,4.776,0.749,0.463,0.025,0.962,0.171,0.853,0.475,0.658,0.043,0.536,0.951,0.707,338.24,366.524,0.923,3,1,45.75,1,5,17,3,0,26,0.038,6,0,0,0,0,1,0,0,1,0.73,4.559,0.727,104.632,2.22,0,0,0,0,Accepted,Rejected,Accepted,Accepted
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CC=C2c1ccnn1-c1ccccc1,CHEMBL114864,6.82,intermediate,-5.891,4.433,5.584,0.999,0.002,0.008,0.784,0.609,-4.79,1.94907170225633E-05,0.379,96.83441162109375%,2.647,0.9922418594360352%,0.345,0.57,0.544,0.904,0.786,0.582,0.123,0.442,0.888,0.868,10.672,0.039,0.899,0.464,0.047,0.02,0.022,0.857,0.806,0.356,0.003,0.011,0.837,2.855,4.31,4.46,5.064,0.032,0.12,0.007,0.95,0.723,0.827,0.292,0.825,0.028,0.534,0.948,0.651,414.27,453.834,0.913,3,1,38.05,2,6,17,3,0,31,0.065,6,1,0,0,0,0,0,0,0,0.595,4.189,0.536,118.953,1.045,0,0,0,0,Accepted,Rejected,Rejected,Accepted
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1cc[nH]n1,CHEMBL115944,6.82,intermediate,-4.899,3.616,4.247,0.004,0.012,0.01,0.587,0.151,-4.574,1.46739430419984E-05,0.729,95.45868682861328%,1.682,2.654710531234741%,0.247,0.727,0.451,0.543,0.404,0.773,0.471,0.849,0.888,0.351,13.167,0.068,0.065,0.268,0.047,0.01,0.402,0.895,0.052,0.222,0.003,0.01,0.922,1.286,3.105,3.122,4.947,0.07,0.015,0.001,0.776,0.135,0.859,0.634,0.62,0.012,0.126,0.956,0.12,340.25,369.16,0.922,3,2,48.91,1,5,17,3,0,25,0.04,7,0,0,0,0,0,0,0,0,0.72,4.575,0.773,105.538,1.929,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1170,7.25,active,-4.477,3.893,4.28,0.97,0.004,0.006,0.856,0.918,-4.665,2.22695798584027E-05,0.815,88.75006866455078%,0.484,2.5197055339813232%,0.123,0.134,0.141,0.507,0.172,0.17,0.012,0.283,0.796,0.42,13.587,0.839,0.703,0.072,0.777,0.034,0.09,0.869,0.954,0.717,0.884,0.235,0.929,0.376,3.213,3.878,3.974,0.978,0.976,0.009,0.368,0.977,0.951,0.679,0.724,0.012,0.167,0.648,0.585,344.24,373.304,0.922,3,0,43.37,3,4,17,3,0,22,0.136,6,0,1,0,0,1,0,0,1,0.532,4.151,0.818,67.5,2.412,0,0,0,0,Accepted,Rejected,Rejected,Accepted
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,CHEMBL132778,8.21,potent,-4.06,3.957,4.613,0.999,0.011,0.005,0.823,0.258,-4.673,1.827875712479E-05,0.867,91.36061096191406%,1.498,4.177496910095215%,0.887,0.322,0.851,0.79,0.632,0.181,0.253,0.21,0.951,0.71,14.415,0.839,0.947,0.531,0.341,0.012,0.167,0.855,0.96,0.582,0.027,0.152,0.981,0.473,3.048,3.4,3.806,0.902,0.896,0.021,0.867,0.921,0.926,0.876,0.884,0.038,0.377,0.946,0.791,347.22,384.846,0.902,2,0,29.96,1,5,17,2,0,27,0.037,5,0,0,0,0,1,0,0,2,0.618,4.097,0.583,101.684,1.805,0,0,0,0,Accepted,Rejected,Rejected,Accepted
