ID,SMILES,pIC50,class,LogS,LogD,LogP,Pgp_inh,Pgp_sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2_inh,CYP1A2_sub,CYP2C19_inh,CYP2C19_sub,CYP2C9_inh,CYP2C9_sub,CYP2D6_inh,CYP2D6_sub,CYP3A4_inh,CYP3A4_sub,CL,T12,hERG,H_HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR_AR,NR_AR_LBD,NR_AhR,NR_Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,Toxicophores,Acute_Aquatic_Toxicity,LD50_oral,NonGenotoxic_Carcinogenicity,Skin_Sensitization,SureChEMBL,Genotoxic_Carcinogenicity_Mutagenicity,NonBiodegradable,QED,Synth,Fsp3,MCE_18,NP_likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,3.7,inactive,-1.729,0.744,0.403,0,0.002,0.005,0.002,0.004,-4.59,2.82331857306417E-05,0.963,61.76292419433594%,0.835,51.001983642578125%,0.464,0.306,0.615,0.064,0.102,0.601,0.366,0.134,0.419,0.264,5.96,0.228,0.089,0.915,0.989,0.762,0.932,0.897,0.925,0.927,0.005,0.222,0.835,1.34,1.714,2.103,2.914,0.01,0.003,0.611,0.931,0.041,0.008,0.02,0.276,0.007,0.003,0.131,0.011,306.1,276.186,1.108,7,1,81.65,5,3,6,9,0,16,0.312,0,1,1,0,0,0,0,0,1,0.752,2.77,0.231,17,-0.864,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CHEMBL1083652,O=c1c2ccccc2oc2cccc(Cn3ccnc3)c12,6.06,intermediate,-3.258,2.567,3.081,0.007,0.072,0.176,0.984,0.963,-4.666,3.63594626833219E-05,0.945,82.08812713623047%,1.603,21.282821655273438%,0.991,0.137,0.977,0.063,0.938,0.414,0.97,0.095,0.953,0.28,4.881,0.661,0.18,0.319,0.973,0.743,0.331,0.147,0.934,0.439,0.03,0.72,0.655,1.461,3.861,3.922,2.796,0.003,0.003,0.956,0.967,0.055,0.072,0.054,0.693,0.042,0.845,0.373,0.454,276.09,284.208,0.971,4,0,48.03,2,4,14,4,0,22,0.091,0,2,0,0,1,0,0,3,0,0.528,2.287,0.059,19,-0.496,0,0,0,0,Accepted,Rejected,Accepted,Accepted
CHEMBL109347,O=C(NCc1cccnc1)C12CC3CC(CC(C3)C1)C2,4.74,inactive,-2.76,2.929,2.758,0.252,0.235,0.004,0.008,0.008,-4.636,1.69019840541296E-05,0.991,46.23202133178711%,2.263,62.34089279174805%,0.256,0.279,0.874,0.312,0.823,0.866,0.743,0.533,0.895,0.215,6.144,0.276,0.043,0.392,0.023,0.006,0.065,0.116,0.074,0.08,0.003,0.012,0.328,0.87,2.334,3.829,4.371,0.011,0.002,0.055,0.041,0.121,0.004,0.035,0.143,0.004,0.694,0.132,0.013,270.17,288.6,0.936,3,1,41.99,4,5,6,3,0,19,0.211,0,1,0,0,0,1,0,0,1,0.917,3.368,0.647,54.286,-1.249,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CHEMBL110257,C[C@H](NC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,6.68,intermediate,-3.069,3.207,3.204,0.189,0.036,0.003,0.001,0.002,-4.634,2.7694606615114E-05,0.967,50.935691833496094%,1.561,49.596336364746094%,0.31,0.289,0.894,0.148,0.911,0.859,0.844,0.607,0.938,0.254,2.493,0.102,0.021,0.336,0.04,0.006,0.284,0.397,0.054,0.19,0.003,0.018,0.79,1.896,3.145,4.419,5.048,0.002,0.002,0.047,0.815,0.103,0.004,0.175,0.166,0.003,0.801,0.314,0.045,284.19,305.896,0.929,3,1,41.99,4,5,6,3,0,19,0.211,1,1,0,0,0,1,0,0,1,0.923,3.913,0.667,77,-0.908,0,0,0,0,Accepted,Rejected,Accepted,Accepted
CHEMBL110524,C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,8.74,potent,-3.734,3.654,4.17,0.967,0.004,0.004,0.002,0.003,-4.541,2.4410119294771E-05,0.898,65.36380004882812%,1.997,29.273456573486328%,0.758,0.244,0.89,0.104,0.934,0.807,0.841,0.311,0.924,0.367,5.723,0.048,0.035,0.665,0.161,0.04,0.244,0.098,0.093,0.493,0.004,0.294,0.316,2.81,3.477,4.598,5.997,0.006,0.005,0.049,0.962,0.131,0.061,0.038,0.161,0.003,0.796,0.518,0.17,285.17,303.69,0.939,3,0,39.19,4,5,6,3,0,19,0.211,1,1,0,0,0,2,0,0,1,0.791,4.07,0.667,77,-0.428,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL112039,CC(C1N=CC=N1)[C@H]1CCC2C3CC=C4CC(=O)CC[C@]4(C)C3CC[C@@]21C,4.52,inactive,-4.895,3.951,4.577,0.505,0.193,0.008,0.951,0.997,-4.841,1.11122899397742E-05,0.711,48.79356384277344%,1.315,20.9987850189209%,0.084,0.546,0.077,0.881,0.166,0.054,0.976,0.87,0.711,0.608,4.612,0.454,0.018,0.163,0.054,0.175,0.996,0.898,0.949,0.496,0.192,0.069,0.984,0.294,4.492,5.244,5.505,0.001,0.007,0.01,0.11,0.565,0.688,0.249,0.591,0.006,0.293,0.957,0.903,366.27,401.116,0.913,3,0,41.79,2,5,17,3,0,26,0.077,7,0,0,0,0,1,0,0,1,0.615,4.902,0.792,78.233,2.436,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL112292,C[C@@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,7.13,active,-4.031,3.826,4.255,0.406,0.001,0.003,0.001,0.002,-4.543,1.78223162947688E-05,0.93,71.88864135742188%,2.369,21.139368057250977%,0.802,0.24,0.878,0.108,0.932,0.796,0.856,0.261,0.907,0.4,2.675,0.072,0.04,0.561,0.149,0.029,0.151,0.132,0.124,0.389,0.003,0.214,0.172,2.887,3.565,5.025,6.048,0.078,0.004,0.05,0.951,0.08,0.008,0.035,0.158,0.003,0.804,0.234,0.042,285.17,303.69,0.939,3,0,39.19,4,5,6,3,0,19,0.211,1,1,0,0,0,2,0,0,1,0.791,4.07,0.667,77,-0.428,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL112509,C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,6.64,intermediate,-3.712,3.548,4.118,0.961,0.003,0.003,0.002,0.003,-4.549,2.39855435211211E-05,0.918,66.52888488769531%,1.592,25.17579460144043%,0.567,0.309,0.872,0.192,0.898,0.807,0.436,0.136,0.799,0.338,6.842,0.05,0.034,0.678,0.134,0.025,0.181,0.16,0.144,0.551,0.004,0.153,0.51,2.774,3.408,4.851,5.971,0.006,0.005,0.04,0.953,0.155,0.035,0.033,0.12,0.003,0.68,0.515,0.15,285.17,303.69,0.939,3,0,39.19,4,5,6,3,0,19,0.211,1,1,0,0,0,2,0,0,1,0.791,4.071,0.667,77,-0.593,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL112908,CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,8.57,potent,-3.992,4.1,4.486,0.604,0.003,0.004,0.001,0.001,-4.628,2.55742870649556E-05,0.937,72.34455108642578%,1.897,18.517871856689453%,0.614,0.198,0.831,0.127,0.929,0.571,0.895,0.139,0.923,0.414,2.628,0.072,0.029,0.729,0.163,0.008,0.141,0.07,0.09,0.429,0.003,0.112,0.427,2.927,3.468,4.135,5.15,0.001,0.003,0.028,0.958,0.129,0.118,0.022,0.517,0.002,0.821,0.627,0.033,299.19,320.986,0.932,3,0,39.19,4,5,6,3,0,19,0.211,0,1,0,0,0,1,0,0,1,0.79,3.789,0.684,60.375,-0.164,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL113205,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccon1,5.95,inactive,-5.396,3.883,4.362,0.007,0.002,0.004,0.441,0.177,-4.654,1.22423925859039E-05,0.829,97.31604766845703%,1.597,1.847924828529358%,0.179,0.569,0.144,0.782,0.303,0.279,0.031,0.868,0.417,0.566,12.654,0.05,0.07,0.267,0.432,0.016,0.591,0.909,0.057,0.631,0.003,0.013,0.976,3.02,4.116,5.142,6.081,0.506,0.311,0.001,0.017,0.562,0.829,0.596,0.237,0.009,0.166,0.922,0.033,341.24,366.954,0.93,3,1,46.26,1,5,17,3,0,25,0.04,7,0,0,0,0,0,0,0,0,0.724,4.439,0.773,105.538,2.002,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL113242,O=C(OCc1ccncc1)C12CC3CC(CC(C3)C1)C2,7.74,active,-3.494,3.766,3.926,0.91,0.003,0.004,0.001,0.002,-4.622,2.82755318039563E-05,0.952,58.20042037963867%,2.403,39.4363899230957%,0.884,0.163,0.898,0.098,0.932,0.728,0.937,0.282,0.935,0.352,7.923,0.117,0.044,0.287,0.058,0.028,0.063,0.086,0.079,0.432,0.003,0.107,0.119,2.734,3.745,4.486,5.852,0.005,0.003,0.251,0.943,0.144,0.035,0.021,0.316,0.004,0.85,0.25,0.408,271.16,286.394,0.947,3,0,39.19,4,5,6,3,0,19,0.211,0,1,0,0,0,2,0,0,1,0.791,3.442,0.647,54.286,-0.407,0,0,0,0,Accepted,Rejected,Accepted,Accepted
CHEMBL113407,C[C@]12CCC3C(CC=C4CC(=O)CC[C@@]43C)C1CC[C@@H]2C1N=CC=N1,6.4,intermediate,-4.524,3.455,3.963,0.749,0.698,0.009,0.967,0.995,-4.827,7.37335767553304E-06,0.328,27.605831146240234%,1.255,42.2534294128418%,0.123,0.383,0.08,0.858,0.194,0.062,0.971,0.851,0.679,0.509,5.376,0.354,0.02,0.13,0.047,0.431,0.997,0.903,0.959,0.745,0.773,0.295,0.986,0.165,3.954,4.495,5.236,0.006,0.072,0.012,0.054,0.673,0.495,0.199,0.736,0.012,0.327,0.954,0.853,338.24,366.524,0.923,3,0,41.79,1,5,17,3,0,26,0.038,6,0,0,0,0,1,0,0,1,0.643,4.759,0.773,77.538,2.174,0,0,0,0,Accepted,Rejected,Accepted,Accepted
CHEMBL113448,C[C@]12CCC3C(CC=C4CC(=O)CC[C@@]43C)C1CC=C2c1cc[nH]n1,7.23,active,-4.539,3.815,4.14,0.994,0.001,0.005,0.764,0.253,-4.688,1.74188407982001E-05,0.599,93.74304962158203%,1.712,3.236069917678833%,0.264,0.642,0.872,0.326,0.56,0.841,0.411,0.556,0.888,0.39,12.061,0.392,0.286,0.287,0.139,0.01,0.353,0.915,0.198,0.666,0.003,0.015,0.821,0.319,2.44,2.604,4.37,0.09,0.468,0.009,0.733,0.488,0.825,0.96,0.723,0.029,0.233,0.959,0.578,336.22,363.887,0.924,3,1,45.75,1,5,17,3,0,26,0.038,5,0,0,0,0,1,0,0,1,0.739,4.617,0.636,102.667,1.642,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL113647,O=C(OCc1cccnc1)C12CC3CC(CC(C3)C1)C2,6.34,intermediate,-3.527,3.667,3.852,0.837,0.002,0.004,0.001,0.001,-4.621,2.8015334464726E-05,0.969,57.151268005371094%,2.254,36.964088439941406%,0.744,0.238,0.895,0.143,0.878,0.701,0.815,0.164,0.859,0.318,9.149,0.141,0.038,0.28,0.047,0.029,0.041,0.103,0.091,0.414,0.003,0.072,0.131,2.722,3.613,4.66,5.817,0.006,0.003,0.208,0.924,0.169,0.019,0.015,0.236,0.004,0.772,0.215,0.369,271.16,286.394,0.947,3,0,39.19,4,5,6,3,0,19,0.211,0,1,0,0,0,2,0,0,1,0.791,3.44,0.647,54.286,-0.647,0,0,0,0,Accepted,Rejected,Accepted,Accepted
CHEMBL113804,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccno1,6.82,intermediate,-5.073,3.595,4.059,0.117,0.002,0.005,0.438,0.105,-4.736,1.0739614481281E-05,0.842,97.70025634765625%,1.762,1.7442381381988525%,0.452,0.557,0.483,0.806,0.531,0.408,0.095,0.543,0.911,0.638,11.897,0.072,0.049,0.627,0.75,0.022,0.47,0.906,0.093,0.488,0.003,0.01,0.979,2.388,3.649,4.005,5.323,0.295,0.091,0.001,0.455,0.124,0.779,0.848,0.355,0.012,0.175,0.931,0.073,341.24,366.954,0.93,3,1,46.26,1,5,17,3,0,25,0.04,7,0,0,0,0,0,0,0,0,0.724,4.448,0.773,105.538,1.991,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CHEMBL113966,C[C@]12CCC3C(CC=C4CC(=O)CC[C@@]43C)C1CC[C@@H]2c1c[nH]cn1,7.24,active,-4.104,3.274,3.709,0.74,0.023,0.005,0.978,0.982,-4.691,4.28223029302899E-06,0.9,90.4840316772461%,0.871,5.228049278259277%,0.291,0.175,0.819,0.442,0.462,0.219,0.747,0.032,0.943,0.546,14.248,0.881,0.26,0.169,0.73,0.01,0.868,0.916,0.779,0.038,0.013,0.024,0.967,0.445,3.431,3.643,4.776,0.749,0.463,0.025,0.962,0.171,0.853,0.475,0.658,0.043,0.536,0.951,0.707,338.24,366.524,0.923,3,1,45.75,1,5,17,3,0,26,0.038,6,0,0,0,0,1,0,0,1,0.73,4.559,0.727,104.632,2.22,0,0,0,0,Accepted,Rejected,Accepted,Accepted
CHEMBL114019,C[C@@H](NC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,6.37,intermediate,-3.025,3.293,3.325,0.446,0.029,0.004,0.002,0.003,-4.609,1.96035416593077E-05,0.976,56.72487258911133%,1.163,47.19865036010742%,0.278,0.244,0.878,0.138,0.901,0.787,0.85,0.471,0.935,0.259,1.775,0.137,0.028,0.336,0.035,0.007,0.14,0.168,0.056,0.089,0.003,0.016,0.242,1.207,2.86,4.226,4.728,0.022,0.002,0.035,0.829,0.076,0.005,0.099,0.208,0.003,0.755,0.289,0.027,284.19,305.896,0.929,3,1,41.99,4,5,6,3,0,19,0.211,1,1,0,0,0,1,0,0,1,0.923,3.913,0.667,77,-0.908,0,0,0,0,Accepted,Rejected,Accepted,Accepted
