name,nAcid,nBase
CHEMBL106,0,0
CHEMBL1083652,0,0
CHEMBL109347,0,0
CHEMBL110257,0,0
CHEMBL110524,0,0
CHEMBL112039,0,0
CHEMBL112292,0,0
CHEMBL112509,0,0
CHEMBL112908,0,0
CHEMBL113205,0,0
CHEMBL113242,0,0
CHEMBL113407,0,0
CHEMBL113448,0,0
CHEMBL113647,0,0
CHEMBL113804,0,0
CHEMBL113966,0,0
CHEMBL114019,0,0
CHEMBL114447,0,0
CHEMBL114864,0,0
CHEMBL115944,0,0
CHEMBL1170,0,0
CHEMBL1171987,0,0
CHEMBL1171991,0,0
CHEMBL1172559,0,0
CHEMBL1172779,0,0
CHEMBL1172842,0,0
CHEMBL1172847,0,0
CHEMBL1172882,0,0
CHEMBL1172883,0,0
CHEMBL1173259,0,0
CHEMBL1173260,0,0
CHEMBL1173261,0,0
CHEMBL1173326,0,0
CHEMBL1173327,0,0
CHEMBL1173335,0,0
CHEMBL1173726,0,0
CHEMBL1173727,0,0
CHEMBL1173795,0,0
CHEMBL1173796,0,0
CHEMBL1214660,0,0
CHEMBL1214661,0,0
CHEMBL1214662,0,0
CHEMBL1214663,0,0
CHEMBL1214664,0,0
CHEMBL1214734,0,0
CHEMBL1214735,0,0
CHEMBL1214736,0,0
CHEMBL1214737,0,0
CHEMBL1214738,0,0
CHEMBL1214739,0,0
CHEMBL1215595,0,0
CHEMBL1215596,0,0
CHEMBL1215662,0,0
CHEMBL1215663,0,0
CHEMBL1215664,0,0
CHEMBL1215665,0,0
CHEMBL1215729,0,0
CHEMBL1215730,0,0
CHEMBL1215731,0,0
CHEMBL1215732,0,0
CHEMBL131984,0,0
CHEMBL132066,0,0
CHEMBL132072,0,0
CHEMBL132380,0,0
CHEMBL132778,0,0
CHEMBL132969,0,0
CHEMBL133724,0,0
CHEMBL134169,0,0
CHEMBL134442,0,0
CHEMBL134509,0,0
CHEMBL134644,0,0
CHEMBL134748,0,0
CHEMBL135037,0,0
CHEMBL135070,0,0
CHEMBL135095,0,0
CHEMBL135288,0,0
CHEMBL135351,0,0
CHEMBL135651,0,0
CHEMBL135772,0,0
CHEMBL135993,0,0
CHEMBL136897,0,0
CHEMBL136967,0,0
CHEMBL137040,0,0
CHEMBL137063,0,0
CHEMBL137415,0,0
CHEMBL137463,0,0
CHEMBL137507,0,0
CHEMBL137616,0,0
CHEMBL137622,0,0
CHEMBL137623,0,0
CHEMBL137651,0,0
CHEMBL138170,0,0
CHEMBL138272,0,0
CHEMBL138580,0,1
CHEMBL1397,0,0
CHEMBL140021,0,0
CHEMBL1490952,0,0
CHEMBL157101,0,0
CHEMBL1682887,0,0
CHEMBL1682888,0,0
CHEMBL1682889,0,0
CHEMBL1682890,0,0
CHEMBL1682891,0,0
CHEMBL1682892,0,0
CHEMBL1682893,0,0
CHEMBL1682894,0,0
CHEMBL1682895,0,0
CHEMBL1682896,0,0
CHEMBL1682897,0,0
CHEMBL1682898,0,0
CHEMBL1682899,0,0
CHEMBL1682900,0,0
CHEMBL1682901,0,0
CHEMBL1682902,0,0
CHEMBL1682903,0,0
CHEMBL1682904,0,0
CHEMBL1682905,0,0
CHEMBL1761683,0,0
CHEMBL1765101,0,0
CHEMBL1766169,0,0
CHEMBL1766170,0,0
CHEMBL1766171,0,0
CHEMBL1766172,0,0
CHEMBL1766173,0,0
CHEMBL1766174,0,0
CHEMBL1766175,0,0
CHEMBL1766176,0,0
