name,nAromAtom,nAromBond
CHEMBL106,16,16
CHEMBL1083652,19,21
CHEMBL109347,6,6
CHEMBL110257,6,6
CHEMBL110524,6,6
CHEMBL112039,0,0
CHEMBL112292,6,6
CHEMBL112509,6,6
CHEMBL112908,6,6
CHEMBL113205,5,5
CHEMBL113242,6,6
CHEMBL113407,0,0
CHEMBL113448,5,5
CHEMBL113647,6,6
CHEMBL113804,5,5
CHEMBL113966,5,5
CHEMBL114019,6,6
CHEMBL114447,6,6
CHEMBL114864,11,11
CHEMBL115944,5,5
CHEMBL1170,0,0
CHEMBL1171987,18,18
CHEMBL1171991,18,18
CHEMBL1172559,18,18
CHEMBL1172779,18,18
CHEMBL1172842,22,23
CHEMBL1172847,18,18
CHEMBL1172882,18,18
CHEMBL1172883,18,18
CHEMBL1173259,18,18
CHEMBL1173260,18,18
CHEMBL1173261,18,18
CHEMBL1173326,18,18
CHEMBL1173327,18,18
CHEMBL1173335,18,18
CHEMBL1173726,18,18
CHEMBL1173727,18,18
CHEMBL1173795,18,18
CHEMBL1173796,18,18
CHEMBL1214660,18,18
CHEMBL1214661,18,18
CHEMBL1214662,18,18
CHEMBL1214663,18,18
CHEMBL1214664,18,18
CHEMBL1214734,18,18
CHEMBL1214735,17,17
CHEMBL1214736,17,17
CHEMBL1214737,21,22
CHEMBL1214738,22,23
CHEMBL1214739,22,23
CHEMBL1215595,18,18
CHEMBL1215596,18,18
CHEMBL1215662,17,17
CHEMBL1215663,18,18
CHEMBL1215664,18,18
CHEMBL1215665,18,18
CHEMBL1215729,18,18
CHEMBL1215730,18,18
CHEMBL1215731,18,18
CHEMBL1215732,18,18
CHEMBL131984,6,6
CHEMBL132066,6,6
CHEMBL132072,6,6
CHEMBL132380,6,6
CHEMBL132778,6,6
CHEMBL132969,0,0
CHEMBL133724,6,6
CHEMBL134169,6,6
CHEMBL134442,6,6
CHEMBL134509,6,6
CHEMBL134644,5,5
CHEMBL134748,6,6
CHEMBL135037,6,6
CHEMBL135070,6,6
CHEMBL135095,6,6
CHEMBL135288,0,0
CHEMBL135351,0,0
CHEMBL135651,0,0
CHEMBL135772,0,0
CHEMBL135993,0,0
CHEMBL136897,0,0
CHEMBL136967,0,0
CHEMBL137040,0,0
CHEMBL137063,0,0
CHEMBL137415,0,0
CHEMBL137463,0,0
CHEMBL137507,0,0
CHEMBL137616,0,0
CHEMBL137622,0,0
CHEMBL137623,0,0
CHEMBL137651,0,0
CHEMBL138170,0,0
CHEMBL138272,0,0
CHEMBL138580,0,0
CHEMBL1397,28,28
CHEMBL140021,0,0
CHEMBL1490952,11,11
CHEMBL157101,17,17
CHEMBL1682887,15,16
CHEMBL1682888,15,16
CHEMBL1682889,15,16
CHEMBL1682890,15,16
CHEMBL1682891,15,16
CHEMBL1682892,15,16
CHEMBL1682893,15,16
CHEMBL1682894,15,16
CHEMBL1682895,15,16
CHEMBL1682896,15,16
CHEMBL1682897,15,16
CHEMBL1682898,15,16
CHEMBL1682899,15,16
CHEMBL1682900,15,16
CHEMBL1682901,15,16
CHEMBL1682902,15,16
CHEMBL1682903,15,16
CHEMBL1682904,15,16
CHEMBL1682905,15,16
CHEMBL1761683,0,0
CHEMBL1765101,17,17
CHEMBL1766169,17,17
CHEMBL1766170,17,17
CHEMBL1766171,17,17
CHEMBL1766172,17,17
CHEMBL1766173,17,17
CHEMBL1766174,17,17
CHEMBL1766175,17,17
CHEMBL1766176,17,17
CHEMBL1766177,17,17
CHEMBL1766178,17,17
CHEMBL1766179,17,17
CHEMBL1766180,17,17
CHEMBL1766181,17,17
CHEMBL1766182,17,17
CHEMBL1766183,17,17
CHEMBL1766184,17,17
CHEMBL1766185,17,17
CHEMBL1766186,17,17
CHEMBL1766187,17,17
CHEMBL1766188,17,17
CHEMBL1766189,17,17
CHEMBL1766190,17,17
CHEMBL1766191,17,17
CHEMBL1766192,17,17
CHEMBL1921975,15,16
CHEMBL1921976,15,16
CHEMBL1921977,15,16
CHEMBL1921978,15,16
CHEMBL1921979,15,16
CHEMBL1921980,15,16
CHEMBL1921981,15,16
CHEMBL1921982,15,16
CHEMBL1921983,15,16
CHEMBL1921984,15,16
CHEMBL1921985,15,16
CHEMBL193863,16,17
CHEMBL196796,16,17
CHEMBL206283,12,12
CHEMBL2105738,9,10
CHEMBL2111947,0,0
CHEMBL2111948,0,0
CHEMBL2111950,0,0
CHEMBL2111951,0,0
CHEMBL2112280,0,0
CHEMBL2112281,0,0
CHEMBL2112282,0,0
CHEMBL2112298,0,0
CHEMBL2112299,6,6
CHEMBL2112301,6,6
CHEMBL2112517,5,5
CHEMBL2112518,5,5
CHEMBL2112519,5,5
CHEMBL2112521,5,5
CHEMBL2112522,5,5
CHEMBL2112524,0,0
CHEMBL2112526,5,5
CHEMBL2112528,5,5
CHEMBL2112533,5,5
CHEMBL2112534,5,5
CHEMBL2112731,0,0
CHEMBL2112735,0,0
CHEMBL2112737,0,0
CHEMBL2112746,0,0
CHEMBL2112747,0,0
CHEMBL2112755,0,0
CHEMBL2112756,0,0
CHEMBL2112757,0,0
CHEMBL2112758,0,0
CHEMBL2112759,0,0
CHEMBL2112761,0,0
CHEMBL2112764,0,0
CHEMBL2112765,0,0
