name,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,HybRatio,FCSP3
CHEMBL106,0,0,0,5,1,2,0,1,0,0.23076923076923078,0.23076923076923078
CHEMBL1083652,0,0,2,10,3,1,0,0,0,0.058823529411764705,0.058823529411764705
CHEMBL109347,0,0,3,2,1,1,6,3,1,0.6470588235294118,0.6470588235294118
CHEMBL110257,0,0,3,2,1,1,7,3,1,0.6666666666666666,0.6666666666666666
CHEMBL110524,0,0,3,2,1,1,7,3,1,0.6666666666666666,0.6666666666666666
CHEMBL112039,0,0,2,2,1,4,8,5,2,0.7916666666666666,0.7916666666666666
CHEMBL112292,0,0,3,2,1,1,7,3,1,0.6666666666666666,0.6666666666666666
CHEMBL112509,0,0,3,2,1,1,7,3,1,0.6666666666666666,0.6666666666666666
CHEMBL112908,0,0,3,2,1,2,6,4,1,0.6842105263157895,0.6842105263157895
CHEMBL113205,0,0,1,3,1,2,9,4,2,0.7727272727272727,0.7727272727272727
CHEMBL113242,0,0,3,2,1,1,6,3,1,0.6470588235294118,0.6470588235294118
CHEMBL113407,0,0,2,2,1,3,8,4,2,0.7727272727272727,0.7727272727272727
CHEMBL113448,0,0,1,5,2,2,7,3,2,0.6363636363636364,0.6363636363636364
CHEMBL113647,0,0,3,2,1,1,6,3,1,0.6470588235294118,0.6470588235294118
CHEMBL113804,0,0,1,3,1,2,9,4,2,0.7727272727272727,0.7727272727272727
CHEMBL113966,0,0,1,3,1,2,8,4,2,0.7272727272727273,0.7272727272727273
CHEMBL114019,0,0,3,2,1,1,7,3,1,0.6666666666666666,0.6666666666666666
CHEMBL114447,0,0,3,2,1,1,6,3,1,0.6470588235294118,0.6470588235294118
CHEMBL114864,0,0,1,10,2,2,8,3,2,0.5357142857142857,0.5357142857142857
CHEMBL115944,0,0,1,3,1,2,9,4,2,0.7727272727272727,0.7727272727272727
CHEMBL1170,0,0,1,2,1,3,10,3,2,0.8181818181818182,0.8181818181818182
CHEMBL1171987,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1171991,0,0,2,11,6,2,0,0,0,0.09523809523809523,0.09523809523809523
CHEMBL1172559,0,0,2,11,4,2,0,2,0,0.19047619047619047,0.19047619047619047
CHEMBL1172779,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1172842,0,0,2,13,8,2,0,0,0,0.08,0.08
CHEMBL1172847,0,0,2,11,6,2,0,0,0,0.09523809523809523,0.09523809523809523
CHEMBL1172882,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1172883,0,0,2,11,4,1,1,1,0,0.15,0.15
CHEMBL1173259,0,0,2,11,6,2,0,0,0,0.09523809523809523,0.09523809523809523
CHEMBL1173260,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1173261,0,0,2,11,4,1,1,1,0,0.15,0.15
CHEMBL1173326,0,0,2,11,6,2,0,0,0,0.09523809523809523,0.09523809523809523
CHEMBL1173327,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1173335,0,0,2,11,6,2,0,0,0,0.09523809523809523,0.09523809523809523
CHEMBL1173726,0,0,2,11,6,5,0,1,0,0.23076923076923078,0.23076923076923078
CHEMBL1173727,0,0,2,11,6,5,0,1,0,0.23076923076923078,0.23076923076923078
CHEMBL1173795,0,0,2,11,6,5,0,1,0,0.23076923076923078,0.23076923076923078
CHEMBL1173796,0,0,2,11,6,8,0,2,0,0.3225806451612903,0.3225806451612903
CHEMBL1214660,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1214661,0,0,2,11,4,0,1,0,0,0.10526315789473684,0.10526315789473684
CHEMBL1214662,0,0,2,11,4,3,1,1,0,0.21739130434782608,0.21739130434782608
CHEMBL1214663,0,0,2,11,4,3,1,1,0,0.21739130434782608,0.21739130434782608
CHEMBL1214664,0,0,2,11,4,6,1,2,0,0.32142857142857145,0.32142857142857145
CHEMBL1214734,0,0,2,11,4,3,1,1,0,0.25,0.25
CHEMBL1214735,0,0,4,7,4,0,1,0,0,0.0625,0.0625
CHEMBL1214736,0,0,3,9,3,0,1,0,0,0.0625,0.0625
CHEMBL1214737,0,0,3,11,5,0,1,0,0,0.05,0.05
CHEMBL1214738,0,0,2,13,6,0,1,0,0,0.08695652173913043,0.08695652173913043
CHEMBL1214739,0,0,2,13,6,0,1,0,0,0.045454545454545456,0.045454545454545456
CHEMBL1215595,0,0,2,11,4,1,1,1,0,0.19047619047619047,0.19047619047619047
CHEMBL1215596,0,0,2,11,4,1,1,1,0,0.19047619047619047,0.19047619047619047
CHEMBL1215662,0,0,2,9,3,1,0,0,0,0.0625,0.0625
CHEMBL1215663,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1215664,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1215665,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL1215729,0,0,3,11,4,1,1,0,0,0.1,0.1
CHEMBL1215730,0,0,3,11,4,1,1,0,0,0.1,0.1
CHEMBL1215731,0,0,3,10,5,0,1,0,0,0.05263157894736842,0.05263157894736842
CHEMBL1215732,0,0,2,11,4,0,1,0,0,0.05555555555555555,0.05555555555555555
CHEMBL131984,0,0,3,2,1,3,4,3,1,0.6470588235294118,0.6470588235294118
CHEMBL132066,0,0,3,2,1,4,3,4,1,0.6666666666666666,0.6666666666666666
CHEMBL132072,0,0,3,2,1,3,4,3,1,0.6470588235294118,0.6470588235294118
CHEMBL132380,0,0,3,2,1,5,5,3,2,0.7142857142857143,0.7142857142857143
CHEMBL132778,0,0,2,5,3,2,7,3,2,0.5833333333333334,0.5833333333333334
CHEMBL132969,0,0,0,3,2,3,8,3,2,0.7619047619047619,0.7619047619047619
CHEMBL133724,0,0,3,2,1,4,3,4,1,0.6666666666666666,0.6666666666666666
CHEMBL134169,0,0,3,2,1,2,6,4,1,0.6842105263157895,0.6842105263157895
CHEMBL134442,0,0,3,2,1,4,6,4,2,0.7272727272727273,0.7272727272727273
CHEMBL134509,0,0,3,2,1,1,6,5,0,0.6666666666666666,0.6666666666666666
CHEMBL134644,0,0,1,3,2,2,8,3,2,0.6818181818181818,0.6818181818181818
CHEMBL134748,0,0,2,4,0,3,4,3,1,0.6470588235294118,0.6470588235294118
CHEMBL135037,0,0,3,2,1,0,7,4,0,0.6470588235294118,0.6470588235294118
CHEMBL135070,0,0,3,2,1,5,3,3,2,0.6842105263157895,0.6842105263157895
CHEMBL135095,0,0,3,2,1,4,6,4,2,0.7272727272727273,0.7272727272727273
CHEMBL135288,0,0,0,5,3,3,6,2,2,0.6190476190476191,0.6190476190476191
CHEMBL135351,0,0,0,4,2,3,7,3,2,0.7142857142857143,0.7142857142857143
CHEMBL135651,0,0,0,3,1,3,8,4,2,0.8095238095238095,0.8095238095238095
CHEMBL135772,0,0,0,2,1,3,10,4,2,0.8636363636363636,0.8636363636363636
CHEMBL135993,0,0,1,2,1,2,9,4,2,0.8095238095238095,0.8095238095238095
CHEMBL136897,0,0,0,1,1,3,10,4,2,0.9047619047619048,0.9047619047619048
CHEMBL136967,1,0,0,2,1,3,8,5,2,0.8571428571428571,0.8181818181818182
CHEMBL137040,0,0,0,3,1,3,9,4,2,0.8181818181818182,0.8181818181818182
CHEMBL137063,0,0,0,1,1,3,10,4,2,0.9047619047619048,0.9047619047619048
CHEMBL137415,0,0,1,2,1,3,8,5,2,0.8181818181818182,0.8181818181818182
CHEMBL137463,0,0,0,2,1,3,9,4,2,0.8571428571428571,0.8571428571428571
CHEMBL137507,0,0,0,2,1,2,9,3,2,0.8095238095238095,0.8095238095238095
CHEMBL137616,0,0,0,1,1,4,9,5,2,0.9090909090909091,0.9090909090909091
CHEMBL137622,0,0,0,3,2,3,8,3,2,0.7619047619047619,0.7619047619047619
CHEMBL137623,0,0,0,1,1,3,10,4,2,0.9047619047619048,0.9047619047619048
CHEMBL137651,1,1,0,1,1,2,9,4,2,0.8947368421052632,0.8095238095238095
CHEMBL138170,0,0,0,3,2,3,8,3,2,0.782608695652174,0.782608695652174
CHEMBL138272,0,0,0,3,2,3,8,3,2,0.7619047619047619,0.7619047619047619
CHEMBL138580,0,0,0,2,1,3,10,4,2,0.8636363636363636,0.8636363636363636
CHEMBL1397,0,0,0,17,1,9,4,2,0,0.40540540540540543,0.40540540540540543
CHEMBL140021,0,0,0,1,1,3,10,4,2,0.9047619047619048,0.9047619047619048
CHEMBL1490952,0,0,0,8,2,2,2,0,1,0.3333333333333333,0.3333333333333333
CHEMBL157101,0,0,3,11,1,8,2,0,0,0.38461538461538464,0.38461538461538464
CHEMBL1682887,0,0,1,8,3,2,0,2,0,0.2777777777777778,0.2777777777777778
CHEMBL1682888,0,0,1,8,4,3,0,2,0,0.2631578947368421,0.2631578947368421
CHEMBL1682889,0,0,2,8,3,3,0,2,0,0.2631578947368421,0.2631578947368421
CHEMBL1682890,0,0,1,8,3,2,0,2,0,0.2631578947368421,0.2631578947368421
CHEMBL1682891,0,0,2,7,4,2,0,2,0,0.2631578947368421,0.2631578947368421
