name,Zagreb1,Zagreb2,mZagreb1,mZagreb2
CHEMBL106,116.0,135.0,6.868055555555555,4.777777777777778
CHEMBL1083652,116.0,140.0,5.027777777777778,4.5555555555555545
CHEMBL109347,114.0,137.0,4.868055555555555,4.208333333333332
CHEMBL110257,120.0,145.0,5.729166666666667,4.402777777777778
CHEMBL110524,120.0,145.0,5.729166666666667,4.402777777777778
CHEMBL112039,160.0,202.0,8.26388888888889,5.61111111111111
CHEMBL112292,120.0,145.0,5.729166666666667,4.402777777777778
CHEMBL112509,120.0,145.0,5.729166666666667,4.402777777777778
CHEMBL112908,128.0,155.0,6.680555555555555,4.5
CHEMBL113205,150.0,190.0,7.152777777777779,5.166666666666665
CHEMBL113242,114.0,137.0,4.868055555555555,4.208333333333332
CHEMBL113407,150.0,190.0,7.152777777777779,5.166666666666665
CHEMBL113448,150.0,190.0,7.152777777777779,5.166666666666665
CHEMBL113647,114.0,137.0,4.868055555555555,4.208333333333332
CHEMBL113804,150.0,190.0,7.152777777777779,5.166666666666665
CHEMBL113966,150.0,190.0,7.152777777777779,5.166666666666665
CHEMBL114019,120.0,145.0,5.729166666666667,4.402777777777778
CHEMBL114447,114.0,137.0,4.868055555555555,4.208333333333332
CHEMBL114864,184.0,232.0,8.375,6.4722222222222205
CHEMBL115944,150.0,190.0,7.152777777777779,5.166666666666665
CHEMBL1170,144.0,180.0,8.652777777777779,5.3055555555555545
CHEMBL1171987,102.0,116.0,5.055555555555555,4.444444444444445
CHEMBL1171991,124.0,145.0,7.888888888888889,5.305555555555556
CHEMBL1172559,118.0,137.0,7.027777777777778,5.111111111111112
CHEMBL1172779,108.0,124.0,5.916666666666666,4.638888888888888
CHEMBL1172842,144.0,170.0,7.75,5.888888888888889
CHEMBL1172847,124.0,145.0,7.888888888888889,5.305555555555556
CHEMBL1172882,102.0,116.0,5.055555555555555,4.444444444444445
CHEMBL1172883,112.0,130.0,6.166666666666666,5.000000000000001
CHEMBL1173259,118.0,137.0,7.027777777777778,5.111111111111112
CHEMBL1173260,108.0,124.0,5.916666666666666,4.638888888888888
CHEMBL1173261,118.0,138.0,7.027777777777777,5.1944444444444455
CHEMBL1173326,118.0,137.0,7.027777777777778,5.111111111111112
CHEMBL1173327,108.0,124.0,5.916666666666666,4.638888888888888
CHEMBL1173335,124.0,145.0,7.888888888888889,5.305555555555556
CHEMBL1173726,154.0,175.0,10.70138888888889,6.486111111111112
CHEMBL1173727,154.0,175.0,10.70138888888889,6.486111111111112
CHEMBL1173795,160.0,183.0,11.5625,6.680555555555555
CHEMBL1173796,196.0,221.0,15.23611111111111,8.055555555555555
CHEMBL1214660,108.0,124.0,5.916666666666666,4.638888888888888
CHEMBL1214661,112.0,129.0,6.166666666666666,4.972222222222222
CHEMBL1214662,138.0,154.0,8.729166666666668,5.8194444444444455
CHEMBL1214663,144.0,162.0,9.590277777777779,6.013888888888889
CHEMBL1214664,180.0,200.0,13.26388888888889,7.38888888888889
CHEMBL1214734,148.0,167.0,9.840277777777779,6.347222222222223
CHEMBL1214735,92.0,105.0,3.9444444444444446,4.027777777777778
CHEMBL1214736,92.0,105.0,3.9444444444444446,4.027777777777778
