,class
66,intermediate
90,potent
62,inactive
22,inactive
85,inactive
81,active
77,active
15,active
30,inactive
45,inactive
9,active
33,intermediate
56,inactive
64,intermediate
28,potent
79,active
5,active
107,potent
70,inactive
39,intermediate
35,inactive
16,active
105,potent
34,intermediate
110,potent
7,active
43,inactive
67,intermediate
99,potent
27,active
19,active
89,potent
94,potent
25,potent
8,intermediate
83,inactive
49,inactive
13,active
78,active
24,active
3,active
17,intermediate
38,intermediate
101,potent
6,intermediate
72,intermediate
96,potent
88,potent
54,intermediate
50,inactive
84,inactive
46,intermediate
76,active
61,inactive
108,potent
109,potent
41,intermediate
58,inactive
48,inactive
95,potent
57,inactive
75,intermediate
32,inactive
104,potent
59,active
63,inactive
93,potent
37,intermediate
29,active
98,potent
1,active
52,potent
21,intermediate
2,active
23,intermediate
87,inactive
100,potent
74,intermediate
86,inactive
82,active
111,potent
20,active
60,intermediate
71,active
106,potent
14,active
92,potent
51,intermediate
102,potent
